,corrente_anodica,corrente_catodica,carga,diff_corrente_anodica_catodica,diff_pot_anodico_catodico,pico_derivada_anodica,pico_derivada_catodica,target
0,176.393,-189.247,-114.56545794126203,365.64,0.20164179999999998,101.23617010977908,-107.5733340560548,0
1,175.431,-186.958,-113.99281790581671,362.389,0.2176126,96.30563178403277,-101.7115695881788,0
2,177.592,-189.302,-106.74065585935801,366.894,0.20164179999999998,101.7496021008743,-108.22058178973028,0
3,174.269,-184.807,-99.39953387066987,359.076,0.223602,94.14952349858618,-99.02702443575059,0
4,176.5300751,-191.6273713,-114.15639870418556,368.1574464,0.22360239999999998,94.44616929514734,-100.43172188588977,0
5,184.4403744,-200.5905151,-121.47881404615691,385.0308895,0.1916594,109.7420922152621,-118.15197188764722,0
6,181.739521,-198.7136602,-120.8727161734189,380.4531812,0.20962759999999997,101.03220224962104,-108.8417637450226,0
7,179.148531,-193.3943748,-120.68510479513839,372.54290579999997,0.2176126,97.90911666945738,-104.33518141755418,0
8,178.0956745,-192.9915309,-120.51910681335772,371.0872054,0.2196091,96.56899697562477,-103.21702242616702,0
9,176.0356903,-192.3414946,-121.49617650918833,368.3771849,0.22160549999999998,95.09364382253455,-101.96263422865857,0
10,176.3652802,-191.0963655,-119.87600566830099,367.46164569999996,0.22160549999999998,95.28472740954533,-101.46680450570184,0
11,178.8372517,-194.3099141,-119.6258671526914,373.1471658,0.2136206,98.7083749243338,-105.85159053030084,0
12,179.0203571,-193.8155174,-117.93550523057326,372.83587450000005,0.223602,95.95039265531338,-102.00663761147267,0
13,175.1934052,-189.7871375,-120.58453095876587,364.9805427,0.22160549999999998,94.16558769920354,-100.27919826883041,0
14,178.6083698,-196.2691665,-120.60256598440333,374.8775363,0.21961,96.47954910231843,-104.16178871208605,0
15,179.9542427,-194.9050069,-125.05427989034433,374.8592496,0.2096277,101.47720337443253,-108.23027559980852,0
16,184.4129086,-201.3046503,-122.74210893792053,385.7175589,0.18966239999999998,108.971387688245,-117.64697475124603,0
17,177.2259235,-189.5948768,-119.70456497125872,366.8208003,0.2176126,98.37841183241571,-103.75405866889948,0
