,mean,std,min,25%,50%,75%,max,label
0,2.1364838306906258,13.14831567270099,0.0007804091095078921,0.016871508977091904,0.032798078888696985,0.2076937103947849,109.88155197251773,0
1,1.982966334430884,11.981397456766436,0.005990136599709802,0.03877187282481092,0.05327291015192127,0.17509622100397204,100.00019392730496,0
2,2.1631382589040675,12.898256529481158,0.0038432364768170293,0.04049852638379902,0.049393937942829536,0.2571996357424039,107.68276263297872,0
3,2.2151222187576574,14.189120147160802,0.0001852157268118351,0.009371083467564684,0.026215257374107417,0.16792910149756896,118.69755651595744,0
4,2.1523804492621914,13.454413625377953,0.002497314561343362,0.041289229765005986,0.05771727595768922,0.11530273856846153,112.47510804521276,0
5,2.111818761525728,13.293835051344713,0.0007249158113560778,0.010520838676614963,0.026155459965374453,0.20523056070855322,111.14020944148936,0
6,2.414687126047585,13.870190223050797,0.015966111041129903,0.09459634537392475,0.12333354544132313,0.22877993820406867,115.7459136746454,0
7,2.3399070419922183,14.128026399197452,0.004472526252692473,0.03918936235684875,0.062492864351746044,0.21138366739800635,117.88455784574468,0
8,2.2806461382540295,13.692133832710443,0.0008133387734703983,0.0151087464170253,0.030781424637381913,0.1464651865316621,114.19389960106383,0
9,2.139616997028193,13.467030467287392,0.0006715490462932181,0.011877462796285643,0.03471197304150737,0.1666765145376219,112.49989611037233,0
0,2.2330614265337547,13.704212598678492,0.002480050350757355,0.06184195119438442,0.06972275727184106,0.18672890020600447,114.69718251329788,1
1,2.083418842494912,13.242538818501439,0.0021352970853764958,0.01808318390068433,0.025925477345784504,0.10090213295415783,110.74119015957447,1
2,2.207625279721277,13.397764058836202,0.013593119086948692,0.066787802581246,0.0837527166867087,0.13294125956001013,111.91141677748227,1
3,1.9728652289814737,11.441535653508094,0.0029377734407465507,0.03141444033764779,0.045222404155325385,0.1422758491326731,95.37387799202128,1
4,1.9971363437695107,11.395863351821513,0.0008526440207839857,0.03674174116012898,0.05006458235125169,0.15442651721602635,94.87297761524823,1
5,2.1391723148396418,12.355541515669362,0.0012358300229336353,0.015527876556342374,0.028584876804487076,0.14689311575382313,102.97803080673759,1
6,1.9631177849078738,11.07210242466692,0.002086879513787885,0.04014718532562256,0.048474737938414225,0.24350490975887218,92.07529920212765,1
7,2.0730421060969877,11.938107619092344,0.012310308767548689,0.047058222141671685,0.05242582754040441,0.1820616620652219,99.36574689716312,1
8,2.382165047390482,13.688672547854909,0.006653406941298897,0.05991938266348331,0.07086429528310789,0.14738971967223688,114.2419450908688,1
9,2.244020109408532,12.89436434393367,0.004406639870176924,0.03976514237992307,0.05943027117573623,0.15052351714871454,107.31578291223404,1
